year,status,age_group,no_of_drug_abusers
2003,Total,Below 20,191
2003,Total,20-29,634
2003,Total,30-39,502
2003,Total,40-49,395
2003,Total,50-59,75
2003,Total,60 & Above,12
2004,Total,Below 20,107
2004,Total,20-29,424
2004,Total,30-39,255
2004,Total,40-49,145
2004,Total,50-59,23
2004,Total,60 & Above,2
2005,Total,Below 20,57
2005,Total,20-29,377
2005,Total,30-39,220
2005,Total,40-49,113
2005,Total,50-59,25
2005,Total,60 & Above,1
2006,Total,Below 20,50
2006,Total,20-29,367
2006,Total,30-39,416
2006,Total,40-49,303
2006,Total,50-59,75
2006,Total,60 & Above,7
2007,Total,Below 20,79
2007,Total,20-29,529
2007,Total,30-39,723
2007,Total,40-49,658
2007,Total,50-59,210
2007,Total,60 & Above,12
2008,Total,Below 20,89
2008,Total,20-29,551
2008,Total,30-39,777
2008,Total,40-49,741
2008,Total,50-59,342
2008,Total,60 & Above,37
2009,Total,Below 20,119
2009,Total,20-29,630
2009,Total,30-39,754
2009,Total,40-49,726
2009,Total,50-59,351
2009,Total,60 & Above,36
2010,Total,Below 20,163
2010,Total,20-29,663
2010,Total,30-39,760
2010,Total,40-49,799
2010,Total,50-59,434
2010,Total,60 & Above,68
2011,Total,Below 20,260
2011,Total,20-29,851
2011,Total,30-39,776
2011,Total,40-49,800
2011,Total,50-59,564
2018,New,Below 20,305
2018,New,20-29,570
2018,New,30-39,303
2011,Total,60 & Above,75
2012,Total,Below 20,190
2012,Total,20-29,853
2012,Total,30-39,796
2012,Total,40-49,951
2012,Total,50-59,626
2012,Total,60 & Above,91
2013,Total,Below 20,181
2013,Total,20-29,880
2013,Total,30-39,901
2013,Total,40-49,848
2013,Total,50-59,672
2013,Total,60 & Above,99
2014,Total,Below 20,190
2014,Total,20-29,920
2014,Total,30-39,685
2018,New,40-49,138
2018,New,50-59,36
2018,New,60 & Above,12
2014,Total,40-49,726
2014,Total,50-59,534
2014,Total,60 & Above,103
2015,Total,Below 20,283
2015,Total,20-29,1053
2015,Total,30-39,754
2015,Total,40-49,640
2015,Total,50-59,500
2015,Total,60 & Above,113
2016,Total,Below 20,277
2016,Total,20-29,1064
2016,Total,30-39,774
2016,Total,40-49,618
2016,Total,50-59,419
2016,Total,60 & Above,113
2017,Total,Below 20,278
2017,Total,20-29,956
2017,Total,30-39,778
2017,Total,40-49,537
2017,Total,50-59,402
2017,Total,60 & Above,140
2018,Total,Below 20,360
2018,Total,20-29,1010
2018,Total,30-39,808
2018,Total,40-49,602
2018,Total,50-59,468
2018,Total,60 & Above,191
2019,Total,Below 20,376
2019,Total,20-29,993
2019,Total,30-39,812
2019,Total,40-49,572
2019,Total,50-59,570
2019,Total,60 & Above,203
2020,Total,Below 20,305
2020,Total,20-29,938
2020,Total,30-39,660
2020,Total,40-49,510
2020,Total,50-59,405
2020,Total,60 & Above,238
2003,New,Below 20,163
2004,New,Below 20,89
2005,New,Below 20,48
2006,New,Below 20,46
2007,New,Below 20,74
2008,New,Below 20,87
2009,New,Below 20,117
2010,New,Below 20,155
2011,New,Below 20,228
2012,New,Below 20,162
2013,New,Below 20,153
2014,New,Below 20,172
2015,New,Below 20,257
2016,New,Below 20,244
2017,New,Below 20,235
2019,New,Below 20,309
2019,New,20-29,594
2019,New,30-39,341
2021,New,Below 20,152
2003,New,20-29,374
2004,New,20-29,315
2005,New,20-29,240
2006,New,20-29,226
2007,New,20-29,276
2008,New,20-29,394
2009,New,20-29,464
2010,New,20-29,516
2011,New,20-29,543
2012,New,20-29,577
2013,New,20-29,555
2014,New,20-29,578
2015,New,20-29,644
2016,New,20-29,650
2017,New,20-29,565
2019,New,40-49,130
2019,New,50-59,70
2019,New,60 & Above,16
2021,New,20-29,408
2003,New,30-39,132
2004,New,30-39,147
2005,New,30-39,122
2006,New,30-39,137
2007,New,30-39,103
2008,New,30-39,324
2009,New,30-39,335
2010,New,30-39,349
2011,New,30-39,228
2012,New,30-39,205
2013,New,30-39,264
2014,New,30-39,236
2015,New,30-39,292
2016,New,30-39,313
2017,New,30-39,301
2021,Total,Below 20,200
2021,Total,20-29,715
2021,Total,30-39,602
2021,New,30-39,226
2003,New,40-49,46
2004,New,40-49,48
2005,New,40-49,39
2006,New,40-49,56
2007,New,40-49,58
2008,New,40-49,194
2009,New,40-49,215
2010,New,40-49,225
2011,New,40-49,95
2012,New,40-49,121
2013,New,40-49,100
2014,New,40-49,74
2015,New,40-49,94
2016,New,40-49,110
2017,New,40-49,111
2021,Total,40-49,491
2021,Total,50-59,468
2021,Total,60 & Above,253
2021,New,40-49,97
2003,New,50-59,11
2004,New,50-59,4
2005,New,50-59,4
2006,New,50-59,12
2007,New,50-59,9
2008,New,50-59,53
2009,New,50-59,65
2010,New,50-59,75
2011,New,50-59,26
2012,New,50-59,24
2013,New,50-59,35
2014,New,50-59,28
2015,New,50-59,21
2016,New,50-59,27
2017,New,50-59,33
2020,New,Below 20,228
2020,New,20-29,488
2020,New,30-39,252
2021,New,50-59,40
2003,New,60 & Above,4
2004,New,60 & Above,0
2005,New,60 & Above,0
2006,New,60 & Above,0
2007,New,60 & Above,0
2008,New,60 & Above,8
2009,New,60 & Above,4
2010,New,60 & Above,7
2011,New,60 & Above,8
2012,New,60 & Above,3
2013,New,60 & Above,3
2014,New,60 & Above,5
2015,New,60 & Above,1
2016,New,60 & Above,4
2017,New,60 & Above,4
2020,New,40-49,112
2020,New,50-59,58
2020,New,60 & Above,13
2021,New,60 & Above,13
